keyword,occurrences
bonding,1
valency,1
halide,1
x interactions,1
flack parameter,1
phosphatase,1
phosphorelay,1
adolescents and young adults (aya),1
cns cancers,1
genetics of risk,1
and prevention,1
pediatric cancers,1
composite materials,1
scaffold structures,1
homogenization,1
growth curve model,1
linear growth trajectory,1
macro- and micronutrients,1
under 2 children,1
variation,1
translation studies,1
repair,1
wse2,1
raman,1
santé des adolescents,1
school enrolment,1
scolarisation,1
éducation,1
adherence and compliance,1
good and bad doctors,1
good and bad patients,1
problem patients,1
underimmunization,1
healthcare professionals,1
vaccination communication,1
environmental impact assessment,1
mining sector,1
rechtspopulismus,1
copper dissolution,1
mwcnt,1
virus removal,1
copper(i) oxide,1
cure,1
physical disability,1
autophosphorylation,1
hybrid histidine kinase,1
cultural scripts,1
nation memes,1
insider,1
outsider perspective,1
humorous (self) disparagement,1
(inter)cultural memescape,1
laplace,1
helmholtz,1
maxwell,1
c++,1
$mathcal{h}^2$-matrix,1
ethnolinguistic diversity,1
fractionalization,1
polarization,1
urbanization,1
urban agglomeration,1
primacy,1
emf,1
environmental exposure,1
expom-rf,1
exposimeters,1
non-ionizing radiation,1
quality assessment,1
radiofrequency electromagnetic fields,1
borrelia,1
rickettsia,1
yersinia pestis,1
artificial cell,1
molecular factory,1
amphiphilic polymer,1
clones,1
multiplicity of infection,1
risk analyses,1
fasciola gigantica,1
its1,1
its2,1
fascioliasis,1
hybrid,1
short-time work,1
dictyostelium,1
coronin a,1
interactome analysis,1
dhis2,1
dhs,1
cost-benefit,1
antimalarial,1
humanized mouse,1
merozoite,1
plasmepsin,1
plasmepsin ix,1
plasmepsin x,1
nrwi (non-rainfall water input),1
microlysimeter,1
fog deposition,1
fog precipitation,1
hyper-arid environments,1
nafolica,1
central namib desert,1
child psychology,1
sars-2-cov,1
computational chemistry,1
chronic conditions,1
family medicine,1
non-communicable disease (ncd),1
out of pocket expenditure (oop),1
primary health care (phc),1
breeding centre,1
cervids,1
huemul deer,1
clinical evaluation,1
manganese,1
parapoxvirus,1
muslim,1
prayer marks,1
budget impact analysis,1
color range indicator,1
economic analysis,1
glucose meter,1
mtorc2 signaling,1
signaling crosstalk,1
costa rica,1
applicators,1
exposure algorithm,1
pesticide,1
smallholder,1
dyadic speaker diarization,1
psychotherapy research,1
cross-sector partnerships,1
partnership brokers,1
sdgs,1
mix methods,1
case study,1
institutional environment,1
global trigger tool,1
hematological cancer,1
medical errors,1
multi-micronutrient supplementation,1
tissue engineering,1
lmics,1
maternal immunization,1
service delivery,1
treatment-resistant,1
nonresponse,1
contraception,1
low-income country,1
allergic disease,1
school-age children,1
himalayan balsam-invaded areas,1
deposition. sediment flux,1
sedimentation inequality,1
inequality analysis,1
gini coefficient,1
parametric partial differential equations,1
multilevel quadrature,1
variational crimes,1
cattell-horn-carroll,1
intelligence and development scales-2,1
exploratory factor analysis,1
schmid-leiman transformation,1
omega coefficient,1
general factor,1
community-wide molecular diagnostics,1
malaria elimination program,1
plasmodium falciparum surveillance,1
low density,1
male gametocytes,1
transmission reservoir,1
ultrasensitive diagnostics,1
gibraltar,1
british identity,1
fibre-type,1
muscle atrophy,1
protein translation,1
top mrna,1
multilevel methods,1
nmr solution structure,1
peptide design,1
bifrontal craniectomy,1
cerebellar edema,1
posttraumatic hydrocephalus,1
isomorphism,1
managerialism,1
mission drift,1
nonprofit management,1
organizational performance,1
population dynamics,1
anemia,1
pre-diabetes,1
sub-sahara africa,1
immanuel kant,1
postkoloniale studien,1
3d structures · education · hydrogen bond · ice · polymorph · silica,1
cardiac glycoside,1
komplexitätskategorien,1
patient-related complexity of nursing care,1
patientenbezogene komplexität der pflege,1
categories of complexity,1
collective case studies,1
kollektive case studies,1
qualitative sekundäranalyse,1
qualitative secondary analysis,1
parliamentarians,1
moonlighting,1
vote‐seeking,1
late antiquity,1
fortifications,1
maxima sequanorum,1
german invasions,1
migrations,1
archaelogie,1
multi-center trial,1
pacic short form,1
transplant team,1
palaeotemperature,1
early würmian,1
marine isotope stage 5a,1
multi-proxy approach,1
macrophytes,1
plasma,1
tumor necrosis factor alpha,1
meta-regression,1
walking speed,1
anatomical tibial axis,1
hip osteoarthritis,1
wearable sensors,1
secrets,1
distance,1
interpersonal relations,1
marijuana use,1
problem-solving skills,1
clinical research agenda,1
hydroxychloroquine,1
sphn,1
brain imaging,1
citizen reference,1
personalized health,1
nurse-led intervention,1
pilot trial,1
pulse palpation,1
pulse self-palpation,1
self-monitoring,1
lost to follow-up,1
recurrent events,1
antiepileptic prophylaxis,1
brain tumor surgery,1
levetiracetam,1
health education,1
hygiene,1
llins,1
malaria control,1
spatial heterogeneity,1
climate and earth system modelling,1
cardiac glycosides,1
dog vaccination,1
premature death,1
trichuris trichiura,1
trichuriasis,1
single crystal structure,1
2-(pyridin-2-yl)quinoline,1
cu⋯o distance analysis,1
sense of coherence,1
bpsd,1
dépistage,1
stationäre langzeitpflege,1
délire,1
démence,1
dépression,1
évaluation,1
pastoralism,1
caucasus,1
monitoring and evaluation,1
syphilis,1
cascade of care,1
drug susceptibility testing,1
multidrug-resistant tuberculosis,1
disciplinarity,1
low carbon transitions,1
global warming.,1
elimu-mdx,1
miqe,1
rdml,1
community drug distributors,1
community health,1
health service,1
mass drug administration,1
medicines,1
prime vendor system,1
dodoma,1
medicines availability,1
healthcare utilization,1
bone marrow stromal cells,1
osteogenic grafts,1
vascularization,1
environmental epidemiology,1
environmental public health tracking,1
exposure and health outcomes,1
global health,1
hazard,1
prevention strategy,1
attrition,1
clinical service,1
early intervention,1
service use,1
health care reform,1
medical education,1
nursing students,1
differentiated service delivery,1
southern,1
neovascular age-related macular degeneration,1
ranibizumab,1
treatment patterns,1
expected value of partially perfect information,1
low-income countries and lower-middle-income countries,1
maternal vaccination,1
probabilistic sensitivity analysis,1
respiratory syncytial virus,1
cpg methylation,1
dlk1-dio3,1
glucose metabolism,1
cartilage biomarkers,1
bed rest,1
cartilage degeneration,1
cartilage oligomeric matrix protein,1
resilienz,1
selbstkonzept,1
chancengerechtigkeit,1
public health administration,1
cyclophilins,1
cyclosporine a,1
redox homeostasis,1
sec61 translocon,1
lay translations,1
subtitles,1
lay translation,1
timed comments,1
intercultural communication,1
danmaku,1
mycobacterium bovis,1
bovine tuberculosis,1
molecular clock,1
whole-genome sequencing,1
global scale,1
high resolution,1
tropomi,1
temporal,1
benzodiazepine use,1
hospitalisations,1
prescription,1
autopod evolution,1
forelimb,1
hindlimb differences,1
light-sheet microscopy,1
limb musculoskeletal apparatus,1
limb neuromuscular 3d-atlas,1
polydactyly,1
abdominal pain,1
blastocystis,1
carriage,1
functional pain,1
antipsychotic,1
neuroleptic,1
untreated,1
unmedicated,1
pathophysiology,1
health facilities,1
households,1
pep access,1
hplc-activity profiling,1
haplophyllum tuberculatum,1
cinnamoylphenethyl amides,1
lignans,1
steroid saponins,1
hplc activity profiling,1
medicinal plant,1
paleolimnology late glacial holocene western europe lake mixing regime lake production bacteriopheophytin land use,1
paleodictyon,1
shallow-marine,1
event beds,1
fine and ultrafine particles,1
personal monitoring,1
2′-bipyridine,1
methyl,1
chloro,1
atopy,1
inhaled corticosteroids,1
lung function decline,1
response to corticosteroids,1
drug donations,1
soil-transmitted helminthiases,1
flax,1
late antique egypt agriculture,1
greek and coptic papyrology,1
collateral circulation,1
moyamoya disease,1
revascularization,1
magic glasses,1
integrated control,1
school-based health educational intervention,1
agricultural practices,1
chlorothalonil,1
chlorpyrifos,1
glyphosate,1
imidacloprid,1
lambda-cyhalothrin,1
malaria vector,1
pesticides knowledge,1
medical anthropology,1
extended figurations,1
belongingness,1
interpersonal motives,1
communion and agency,1
non-verbal immediacy,1
hotline,1
human health worker,1
veterinary worker,1
pdgf,1
hydrogel,1
intramyocardial injection,1
transcriptomics,1
suicide attempt,1
traumatic event,1
attributable fraction,1
future suicide attempt,1
assessment of data,1
causes of death,1
garbage codes,1
medical certification,1
anaconda,1
edss score,1
early onset,1
late onset,1
relapsing-remitting ms,1
secondary progressive ms,1
two-level dynamic load balancing,1
computationally-intensive applications,1
mpi+openmp,1
load balancing,1
algorithm selection problem,1
heterogeneous computing systems,1
modeling and simulation of hpc systems,1
hpc benchmarking,1
insecticide-treated nets,1
residual malaria transmission,1
accessory genes,1
household settings,1
oligosymptomatic hat,1
sequelae,1
itn,1
llin,1
long lasting insecticidal nets,1
long storage nets,1
electronic health records,1
nurse staffing,1
workload,1
stroop interference,1
brain oxygenation,1
fnirs,1
high tibial osteotomy,1
knee adduction moment,1
walking stress test,1
biomarkersin vivo,1
cvd,1
attitude,1
belief,1
bats,1
nipah virus infection,1
passive plate,1
presurgical orthopaedics,1
true cleft,1
vomer,1
finite element model,1
periosteal bone remodeling,1
unilateral cleft palate,1
bilateral cleft palate,1
distraction,1
extrapulmonary,1
sonography,1
human well-being,1
nexus,1
participatory methods,1
poverty alleviation,1
fast,1
point-of-care échographie,1
point-of-care-ultraschall,1
point-of-care ultrasound,1
efash,1
efast,1
health facility ranking,1
parental satisfaction,1
preterm infants,1
ability to work,1
interpersonal psychotherapy,1
self-efficacy to returning to work,1
workplace-related stress,1
bromo-substitution,1
photophysical properties,1
food safety,1
livestock loss,1
liquefied petroleum gas,1
stove-stacking,1
corrective surgery,1
flat foot deformity,1
african global health,1
culturalism,1
traditional medicine,1
demographic,1
house modification,1
itns,1
insecticide treated nets,1
socioeconomic,1
fungal spores,1
childhood asthma,1
land-use regression,1
under-researched community,1
health financing,1
priority-setting,1
uhc,1
nmr protein resonance assignment,1
automation,1
projection spectroscopy,1
proton detection,1
solid-state nmr,1
budget impact,1
chronic care,1
costing,1
integrated,1
non-communicable disease,1
ethiopian somali regional state,1
chromosome organization,1
chromosome segregation,1
congenital anomalies,1
municipal waste incinerator,1
dose-finding,1
trichuis trichiura,1
diagnostics and tools,1
use-cases,1
bmi,1
weight change,1
airflow obstruction,1
androgens,1
sex hormones,1
african humid period,1
climate-disturbance-ecosystem interactions,1
disturbance dynamics,1
land use and land cover change,1
paleoecological reconstruction,1
vegetation change,1
central venous access device,1
home parenteral nutrition,1
intestinal failure,1
multidisciplinary team,1
parenteral nutrition admixture,1
patient training,1
4-((1-(1h-imidazol-2-yl)alkoxy)methyl)pyridine,1
anti-parasitic,1
cyp51 inhibitor,1
watershed development project,1
relational frame theory,1
contextual behavioural science,1
ius coronae,1
privatrecht,1
soziales privatrecht,1
arbeitsrecht,1
cfp-10,1
esat-6,1
live vaccines,1
pdim,1
pathogen evolution,1
akutkrankenhaus,1
praxisentwicklung,1
acute hospital,1
interprofessionelle zusammenarbeit,1
sjøgren's syndrome,1
trypanosoma growth inhibitors,1
coulomb interactions,1
membrane protein folding,1
sds-page,1
salt-bridge cluster,1
thermal unfolding,1
key elements,1
mixed-method delphi study,1
age acceleration,1
epigenetic clock,1
respiratory health,1
allogeneic hematopoietic stem cell transplantation,1
behavior change wheel,1
intervention development,1
theory-driven,1
ehealth intervention,1
biomarker-based algorithms,1
qsofa,1
resource-limited,1
severe infection,1
arp2,1
3 complex,1
camp,1
integrin 2,1
platelets,1
thrombin,1
prostacyclin,1
20-bipyridine,1
alkynyl group,1
phosphonic acid anchor,1
hunter-gatherers,1
mesolithic,1
admixture,1
conformation,1
intermolecular interactions,1
"3""-terpyridine",1
isomers,1
beta-oxidation,1
lipid droplet (ld),1
lipid metabolism,1
macrophage activation,1
chey,1
cyclic-di-gmp,1
effector binding,1
subtomogram averaging,1
m5717,1
scid mouse,1
drug combination,1
isobologram,1
pyronaridine,1
resistant mutant,1
strategic planning,1
stratification,1
mycobacterium marinum,1
mycobacterium ulcerans,1
mycolactone,1
skin neglected tropical disease,1
buruli ulcer,1
immune evasion,1
immunopathology,1
polarization of immune responses,1
vaccine design,1
falciparum malaria,1
quinine,1
small for gestational age,1
stillbirth,1
case-crossover,1
lao people's democratic republic,1
work stress,1
ambulatory assessment,1
stress recovery,1
stress reactivity,1
occupational stress,1
cross-stressor adaptation,1
stress-buffer,1
equatorial guinea,1
african languages,1
chmi,1
mait cells,1
unconventional t cells,1
γδ t cells,1
administrative claims data,1
immunisation,1
vaccination coverage rate,1
exposure-response curve,1
green space,1
greenness,1
residential green,1
transportation noise,1
deflectometry,1
matter-waves,1
molecule interferometry,1
tripeptides,1
intestinal parasitic infections,1
school garden,1
cchf virus,1
rickettsia spp.,1
ticks,1
the sudan,1
excretory-secretory,1
extracellular vesicle,1
filarial nematode,1
bartonella henselae,1
bepd,1
pro-inflammatory signaling,1
anti-inflammatory signaling,1
tsunami,1
post-depositional changes,1
flow velocity,1
magnetite dissolution,1
sediment modification,1
p66shc,1
protein vaccines,1
peptide nanoparticles,1
antiprotozoal,1
macaque,1
medicinal foods,1
self-medication,1
epidemiological stratification,1
school surveys,1
interpreation,1
homogeneity,1
efta court,1
directive 2004,1
38,1
polydor principle,1
non-ideal weight,1
adult cancers,1
corona ions,1
electric fields,1
power lines,1
elimination modeling,1
prevalence threshold,1
laboratory,1
mali,1
covid-19 crisis,1
informal volunteering,1
long-term volunteering,1
online platform support,1
volunteer functions inventory,1
volunteer satisfaction,1
east coast fever,1
re-annotation,1
theileria,1
accouchement,1
maternal health,1
pastorale,1
santé maternelle,1
service qualifié d,1
skilled delivery service,1
soins prénatals,1
care assemblages,1
chronification,1
elder care,1
functional,1
community health workers,1
pakistan,1
patient health questionnaire,1
kato-katz thick smear,1
anthelmintic drug resistance,1
egg reduction rate,1
single nucleotide polymorphisms,1
orientia tsutsugamushi,1
thailand,1
scrub typhus,1
blood stage,1
exported proteins,1
saxs,1
bacteriophage ms2,1
cryo-tem,1
ph triggered virus aggregation,1
water filtration,1
sustainable agriculture,1
best management practices,1
input use,1
fertilizer reduction,1
deliberate self-harm,1
cultural epidemiology,1
cultural psychiatry,1
illness explanatory models,1
obstructive lung diseases,1
occupational exposure,1
equilibrichnia,1
fluvio-marine transition,1
open estuary,1
deposition,1
polypharmacology,1
suramin,1
hand hygiene,1
health care facilities,1
fomite,1
phage,1
quantitative microbial risk assessment,1
transfer efficiency,1
determinants of health,1
planetary health,1
atmospheric mercury,1
passive air samplers,1
indoor pollution,1
basel,1
broad-spectrum inhibitor,1
endo-lysosomal pathway,1
bed nets,1
continuous distribution,1
long lasting insecticide treated bed nets,1
hemihydrate,1
liquid-assisted grinding,1
neat grinding,1
racemic compound,1
angriocrine signals,1
macrophage polarization,1
classifier,1
clinical image,1
convolutional neural network,1
skin disease dataset,1
fundraising,1
spendengeldannahme,1
spendenreglement,1
vorstand,1
constraint-based model,1
mis 2,1
mis 1 transition,1
travertine,1
legitimation,1
wissenschaftliche politikberatung,1
wissenschaftstheorie,1
molecular mechanism of gene regulation,1
molecular neuroscience,1
biostatistics,1
medicine,1
endogenous institutions,1
indefinitely repeated games,1
social dilemmas,1
collusion,1
market sharing,1
cournot oligopoly,1
cmmunication,1
childcare,1
gender norms,1
maternal employment,1
material rewards,1
motivation crowding effect,1
non-citizen voting rights,1
opting-in,1
power sharing,1
democratization,1
deliberation,1
digitalization,1
global governance,1
grand challenges,1
responsible innovation,1
un global compact,1
cerebral oxygenation,1
stroop task,1
rain erosion,1
geomorphological experiments,1
active control condition,1
coordinative training,1
war volunteering,1
résistance,1
swiss volunteers,1
aortic valve calcium,1
ejection dynamics parameters,1
paramètres d'éjection dynamique,1
rétrécissement aortique,1
scanner cardiaque,1
score calcique aortique,1
policy communication,1
political ideology,1
misinformation,1
finite mixtures,1
gini decomposition,1
mergers,1
tacit collusion,1
mavericks,1
bertrand oligopoly,1
experi-ments,1
maputo,1
neighbourhood studies,1
urban politics,1
comparison,1
urban religion,1
political efficacy,1
tokenization,1
token standards,1
dlt,1
secondary markets,1
sustainable finance,1
composite indicator,1
fundamental value,1
housing market,1
imbalances,1
loose monetary policy,1
price misalignment,1
integrating energy models,1
renewable integration,1
capacity investments,1
network security,1
water fees,1
rti,1
interoperability,1
webgl,1
information and communication technologies (ict),1
workplace organization,1
worker autonomy,1
worker monitoring,1
wildlife trafficking,1
north stream,1
network model,1
storage,1
butterflies,1
farmland,1
power analysis,1
data transformation,1
religiöse lyrik,1
sangspruchdichtung,1
meisterliche liedkunst,1
pseudomonas,1
type-3 secretion system,1
public attention,1
outside lobbying,1
internet governance,1
policy positions,1
kyoto,1
linking,1
dyspnoea,1
ticagrelor,1
archiving,1
digital preservation,1
long-term archiving,1
renewable energy,1
renewable support,1
two-stage game,1
pneumococcal vaccination,1
pcv13,1
ppv23,1
adolescent autonomy,1
household decision making,1
parent-child relationship,1
test performance,1
news-driven business cycles,1
sectoral information complementarities,1
early warning,1
conflict transformation,1
un,1
flanker task,1
p300,1
aerobic fitness,1
externalities,1
spillovers,1
commitment,1
centralized leader- ship,1
decentralized leadership,1
homescan data,1
relative price shifts,1
inflation measurement,1
bias in inflation indexes,1
commodity futures prices,1
temporary and permanent price shocks,1
gains,1
losses,1
retirement,1
leisure,1
social relationships,1
school-to-work transition,1
referendum,1
politische bildung,1
meinungsbildung,1
österreich,1
usa,1
deutschland,1
irland,1
co-design,1
co-produktion,1
paussinae,1
shada,1
faunistic inventory,1
mostar,1
everyday encounters,1
clinical pharmacology,1
general medicine (see internal medicine),1
geriatric medicine,1
click-chemistry,1
cyclophane,1
daisy chain,1
hydrophobic complexation,1
rotaxane,1
pseudorotaxanes,1
association kinetics,1
hydrophobic effect,1
campylobacter coli,1
campylobacter jejuni,1
clinical course,1
type iv secretion system,1
c.elegans,1
protein binders,1
body dysmorphic disorder,1
body shape,1
sociocultural attitude towards appearances,1
beta-thalassemia minor,1
length of education,1
long-term memory,1
crocus sativus l.,1
older people,1
insecticide-treated mosquito net,1
phase transition of discrete number of atoms,1
scanning tunneling microscopy (stm),1
small system thermodynamics,1
tip-induced local excitation,1
aldosterone synthase,1
cortisol synthase,1
environmental chemical,1
fungicide,1
pharmacophore modeling,1
steroidogenesis,1
hypokalaemia,1
i.v potassium,1
mohamed alamin hamid pediatric hospital,1
omdurman,1
rehydration solution,1
severe acute malnutrition,1
abattoir,1
real-time pcr,1
risk of exposure,1
alopecia,1
lichen planopilaris,1
cardiac catheterization,1
interventional,1
troponin,1
mediators,1
post-traumatic stress disorder,1
air quality index (aqi),1
independent effect,1
nitrogen dioxide (no(2)),1
particulate matter (pm(2.5)),1
short-term,1
auxiliary hypotheses,1
confidence interval,1
hypothesis test,1
p-value,1
posterior probability,1
significance test,1
statistical model,1
unreplicable research,1
cluster randomized controlled trial,1
differentiated care and delivery,1
multi component intervention,1
cluster-randomized controlled trial,1
community-based,1
hiv-testing coverage,1
implementation research,1
self-testing,1
data sharing,1
fairness,1
global south,1
inequities,1
systemic challenges,1
elderly prisoners,1
polymedication,1
infrared,1
irritant contact dermatitis,1
patch testing,1
acitretin,1
ciclosporin,1
fumaric acid esters,1
treatment response,1
tobacco,1
tregs,1
clinical parameter,1
immunosuppression withdrawal,1
liver biopsy,1
operational tolerance,1
regulatory lymphocytes,1
wilson disease,1
hepatolenticular degeneration,1
amp kinase,1
arf gtpase,1
arfgap,1
copi vesicle,1
gcs1,1
glo3,1
3d cell models,1
liver stage infection,1
accelerometry,1
splashy,1
time4medtm,1
drug labelling,1
smart card,1
involuntary treatment,1
kit,1
mastocytosis,1
scoring,1
tyrosine-kinase inhibitors,1
extrapulmonale tuberkulose,1
extrapulmonary tuberculosis,1
xpert® mtb,1
rif,1
aminoquinolines,1
antiplasmodial,1
bioorganometallic chemistry,1
induced fit docking,1
molecular docking,1
strecker reaction,1
pulmonary embolism,1
banach frames,1
discretization of operators,1
invertibility,1
matrix representation,1
stevenson frames,1
amphilophus spp.,1
illumina 16s rrna,1
mida cichlid,1
allopatry,1
continent,1
sympatry,1
cation exchange capacity,1
n ratio,1
gaussian process regression,1
thiols,1
protecting groups,1
easy to purify,1
polarity,1
oncofertility,1
biocontrol agent,1
fecundity,1
telenomus laeviceps,1
children 0-5 years,1
double burden of malnutrition,1
micronutrient deficiency,1
nutritional status,1
overweight,1
women of childbearing age,1
diselenolane,1
protein delivery,1
ring tension,1
robot-assisted training,1
motor learning,1
practice variability,1
functional task difficulty,1
contextual interference,1
augmented feedback,1
sports engineering,1
economic evaluation,1
health impacts,1
urban air pollution,1
neural network,1
laser surgery,1
tissue characterization,1
optical coherence tomography,1
functioning,1
remission,1
symptomatology,1
cyp27a1,1
cytochrome p450,1
dehydrogenases,1
enzyme mechanisms,1
oxysterols,1
nuclear,1
mineralocorticoid receptor,1
retinoid acid-related orphan receptor gamma,1
7-ketocholesterol,1
cholesterol 25-hydroxylase,1
epstein-barr virus-induced gene 2,1
oxysterol,1
aop,1
microphysiological systems,1
drug safety,1
predictive tools,1
monoculture,1
mixture,1
resource partitioning,1
predawn leaf water potential,1
complementarity,1
silent error,1
linear workflow,1
gaas,1
metal−semiconductor heterostructure,1
quasi 1d contacts,1
anticoagulant therapy,1
maxillofacial trauma,1
retrobulbar haematoma,1
companies act 2013,1
political csr,1
trains,1
mobility access,1
western cape,1
albert bandura,1
triadic reciprocal causation,1
genetic differentiation,1
minor allele frequency,1
single-nucleotide polymorphism,1
genome assembly,1
typology,1
(in)dependence,1
strategy,1
dcap,1
antibiotic permeation,1
small-molecule scaffold,1
myth-ritual poetics poetik,1
fr. 2,1
beauty,1
sitz im leben,1
occasion,1
metaphor,1
maiden,1
sexuality,1
rite de passage,1
economic impact,1
iron deficiency,1
societal burden,1
cox1,1
barcoding,1
species delimitation,1
crenobiosis,1
springs,1
abgd,1
polysarcosine,1
surface modification,1
daily life,1
repeated measures,1
acth test,1
cosyntropin test,1
critical illness-related corticosteroid insufficiency,1
rhythm control,1
chemometrics,1
endocrine disrupting chemicals,1
extended steroid profile,1
h295r,1
multifactorial experiments,1
camel,1
cystic echinococcosis,1
echinococcus granulosus s.l. g6,1
g7,1
goat,1
mongolia,1
historical ecology,1
compression effects,1
rangeland management,1
pastoralist mobility strategies,1
eastern africa,1
apollinaire,1
statelessness,1
stylistics,1
hereditary angioedema,1
c1 inhibitor deficiency,1
acute management,1
prophylaxis,1
practical measures,1
cardiac toxicity,1
sunitinib,1
nanomechanics,1
force microscopy,1
optomechanics,1
force sensing,1
coordinative exercise,1
emotion processing,1
familienklima,1
family functioning,1
körperliche aktivität,1
screen time,1
facial emotion recognition,1
late young adulthood,1
mental toughness,1
symptoms of insomnia,1
healthcare delivery,1
migrant health,1
refugee health,1
dance,1
kinshasa,1
leopoldville,1
congo,1
e-voting,1
council of europe,1
public administration,1
estonia,1
europäische bürgerinitiative,1
hepg2 cells,1
mt04,1
oz78,1
artesunate,1
exposure-effect relationship,1
noise effects,1
noise exposure,1
railway noise,1
haiti,1
consolidated framework for implementation research,1
hybrid effectiveness-implementation design,1
phosphane ligands,1
malaria elimination,1
pregnant women,1
aerobic,1
meditative movement,1
randomized,1
hieroglyph,1
symbol,1
idolatry,1
hospital care,1
genetic disorders,1
lipid nanoparticles,1
non-viral gene delivery,1
nucleic acid delivery,1
parametric representation,1
solvent excluded surface,1
solvation continuum model,1
biomass burning,1
long-term measurements,1
global atmosphere watch,1
microplastic,1
marine debris,1
cetacea,1
food web,1
stomach content,1
evidence accumulation,1
sequential sampling,1
ap-2,1
clathrin,1
dynamin,1
rtk,1
genome sequencing,1
sex determination,1
species complex,1
teleost fish,1
life-goal importance,1
life-goal attainability,1
dual-process framework,1
diphtheria vaccination,1
rheumatic disease,1
tetanus vaccination,1
hla b35,1
02,1
azole antifungal agents,1
cross-toxicity,1
drug-induced liver injury (dili),1
isavuconazole,1
voriconazole,1
accelerated aging,1
adverse childhood experiences,1
childhood trauma,1
early adversity,1
telomere length,1
telomeres,1
mass intervention,1
seasonal transmission,1
rational functions.,1
na+-k+-cl- cotransporter,1
blood pressure dipping,1
sodium and hydrogen exchanger 3,1
sodium transport,1
thiazide-sensitive na+,1
cl- cotransporter,1
rab7a,1
vps retromer,1
vps26,1
vps35,1
replicative niche,1
beta-arrestin,1
biased signaling,1
delta opioid receptor,1
g protein-coupled receptor,1
rubisco,1
cauchy problem,1
data completion problem,1
inverse obstacle problem,1
laplace's equation,1
kohn-vogelius functional,1
biologic,1
conventional,1
semantic map,1
systemic treatments,1
adaptive radiation,1
cryptic species,1
patagonotothen,1
rad,1
asia-pacific,1
gms,1
interactive application,1
model-based decision support system,1
qeeg,1
spectral power,1
fine particles,1
palliative,1
timing,1
information sharing,1
perceptions,1
adaptive networks,1
cellular uptake,1
cyclic oligochalcogenides,1
dynamic-covalent chemistry,1
polysulfanes,1
cvd risk factors,1
light quantity,1
light quality,1
spectrometer,1
shoot elongation,1
tree seedlings,1
biomolecules,1
nanoassemblies,1
polymer membranes,1
polymer monolayers,1
reactive case detection,1
dynamical scattering,1
hybrid pixel detector,1
hydrogen atoms,1
biomass accumulation,1
carbon use efficiency,1
gross primary production,1
maintenance respiration,1
metabolic scaling theory,1
net primary production,1
nonstructural carbohydrates,1
plant respiration,1
modifiable haemodialysis practices,1
life-years,1
biosimilar epoetin alfa,1
cognitive dysfunction,1
microbleeds,1
silent cerebral infarcts,1
3d structured illumination microscopy (3d-sim),1
antibody delivery,1
endogenous proteins,1
factor distribution,1
nucleus,1
rna polymerase ii,1
single cells,1
anglo-helvetium,1
astatine,1
element 85,1
helvetium,1
nomenclature,1
iupac,1
control condition,1
plant metabolism,1
parasitic plants,1
substitution rates,1
fossil records,1
tree discrepancy,1
gene tree vs species tree,1
dose-finding trial,1
hookworm,1
soil-transmitted helminthiasis,1
aids > infectious diseases,1
nonmem > pharmacodynamics,1
drug interactions > pharmacokinetics,1
inappropriate drugs,1
data curation,1
geochronology,1
lead-210,1
metadata,1
radiometric dating,1
radionuclide,1
transparency,1
multidisciplinary,1
science-policy interface,1
socio-ecological systems,1
policy support,1
hydroxyl groups,1
neurotrophic agents,1
target profiling,1
withanolide a,1
bleeding rate,1
spine surgery,1
thromboembolic events,1
bovini,1
geometric morphometric,1
teeth,1
phylogenetic signal,1
salmonella,1
clinical strains,1
efflux,1
genetic engineering,1
bruchpilot,1
ephippium,1
plankton resting stage,1
trophic mismatch,1
inverse problem,1
guideline development,1
interprofessional guideline,1
oral anticoagulations,1
lists,1
face-to-face interaktion,1
routinisation,1
constructions,1
sedimented patterns,1
crispr-cas9,1
ctcf,1
hox,1
polycomb,1
cognitive functions,1
intensive treatment,1
positive and negative symptoms,1
treatment-resistant schizophrenia,1
conceptual barriers,1
death,1
co-crystals,1
neglected diseases,1
phonon engineering,1
twinning superlattices,1
managementverantwortliche,1
unsymmetrical disulfides,1
gold anchor group,1
thiosulfonate,1
sam,1
mcbj,1
endurance exercise,1
myokine,1
neurotrophic factor,1
oxidative fiber,1
childhood vaccinations,1
mixed methods research,1
patient-provider communication,1
under-immunisation,1
vaccination information sources,1
complementary and alternative medicine (cam),1
individualized recommendations,1
participatory communication,1
implicit rationing of care,1
longitudinal design,1
registered nurse,1
unfinished nursing care,1
konsum,1
nachhaltiger konsum,1
konsum-korridore,1
systemwissen,1
zielwissen,1
transformationswissen,1
gutes leben,1
geschützte bedürfnisse,1
protected needs,1
education for sustainable development,1
adult education for sustainable development,1
citizen and consumer,1
civic education,1
citizen competence,1
civic competence,1
bioactive molecules,1
biomolecular chemistry,1
caffeic acid ester,1
deoxyglycoside,1
ics-29,1
lipophilicity,1
medicinal chemistry,1
neuroprotection,1
organic synthesis,1
resveratrol,1
hydraulic safety,1
water limitation,1
tree water deficit,1
water potential,1
command line,1
computing cluster,1
data analysis,1
grid engine,1
pipeline,1
supernova,1
rotating stars,1
information need,1
random device,1
coin flip,1
cr3,1
mycobacterium leprae,1
nfat,1
syk,1
macrophage,1
phenol glycolipid-1,1
folate acid,1
metop,1
mtx,1
sdntt,1
immune signaling,1
ion suppression,1
parallel reaction monitoring,1
phosphoproteomics,1
response times,1
diffusion model,1
lba,1
diffusion-model,1
